Wall time,Step,Value
1687033593.2664104,1,0.09908244013786316
1687045846.1386743,2,0.2504793107509613
1687057771.7468,3,0.3590797185897827
1687069791.0716069,4,0.42995068430900574
1687081854.1254094,5,0.4767186939716339
1687093925.817051,6,0.5163654088973999
1687105703.1055284,7,0.5434127449989319
1687117305.0969634,8,0.5680635571479797
1687128874.45099,9,0.5876471996307373
1687140427.2886286,10,0.5827855467796326
1687151600.3294587,11,0.6042864918708801
1687163346.2979777,12,0.6129827499389648
1687175036.8673363,13,0.6209942698478699
1687187000.1716237,14,0.6364009976387024
1687198979.4935088,15,0.6409202814102173
1687210968.8671255,16,0.6398246884346008
1687222876.5895345,17,0.6530402898788452
1687234549.6478949,18,0.6497535109519958
1687246390.8649635,19,0.6545466780662537
1687258291.2085671,20,0.6574910879135132
1687270096.4197085,21,0.6608463525772095
1687281876.7289968,22,0.6607778668403625
1687293641.493776,23,0.6644070148468018
1687305185.8987937,24,0.6693371534347534
1687316740.4411209,25,0.6710489988327026
1687328461.5285318,26,0.6658449769020081
1687340115.558744,27,0.6746781468391418
1687351635.49519,28,0.6734456419944763
1687362849.383311,29,0.6689947843551636
1687374060.7042196,30,0.6739934086799622
1687385303.4898427,31,0.6761845946311951
1687396295.3704734,32,0.6778964400291443
1687407594.2316992,33,0.6846754550933838
1687419431.395584,34,0.6825527548789978
1687432611.3392184,35,0.6870035529136658
1687445922.0946386,36,0.6884415149688721
1687459263.1298194,37,0.6833744049072266
1687470542.5725267,38,0.6881676316261292
1687481816.7411275,39,0.6863188147544861
1687494319.933804,40,0.6880991458892822
