Wall time,Step,Value
1687033960.2626526,1,0.45438897609710693
1687046215.7120287,2,0.5126219391822815
1687058139.504048,3,0.5793172717094421
1687070160.1799524,4,0.5803213119506836
1687082224.42199,5,0.6128323078155518
1687094291.6808128,6,0.6028399467468262
1687106060.254665,7,0.627318799495697
1687117660.6423745,8,0.6179479956626892
1687129228.3571985,9,0.6403232216835022
1687140782.7891407,10,0.6199082136154175
1687151948.69789,11,0.6477338075637817
1687163704.5973945,12,0.6244980096817017
1687175397.5862827,13,0.6481640934944153
1687187368.1380985,14,0.6300439834594727
1687199349.34648,15,0.6571046113967896
1687211334.8782372,16,0.6453911066055298
1687223239.3210592,17,0.6614075303077698
1687234902.8840852,18,0.6489290595054626
1687246759.0772226,19,0.662507176399231
1687258656.2685616,20,0.6317651271820068
1687270458.7646592,21,0.6595429182052612
1687282238.9294333,22,0.6560049653053284
1687293994.859909,23,0.6630808711051941
1687305539.8820262,24,0.6430962085723877
1687317095.3456752,25,0.6682444214820862
1687328814.5178304,26,0.6475425362586975
1687340484.4383924,27,0.6708261370658875
1687351981.455102,28,0.656387448310852
1687363196.6864533,29,0.6635590195655823
1687374408.6929762,30,0.6441958546638489
1687385648.6335144,31,0.6728342175483704
1687396636.6448596,32,0.6660451292991638
1687407953.821581,33,0.667144775390625
1687419780.8131163,34,0.6573914885520935
1687433050.3032756,35,0.6718301773071289
1687446371.0184336,36,0.6620290875434875
1687459608.703333,37,0.6695830821990967
1687470894.8504145,38,0.6229202747344971
1687482163.3162143,39,0.6671925783157349
1687494737.3918135,40,0.6405622363090515
