Wall time,Step,Value
1687033630.0728312,1,0.22583749890327454
1687045883.442961,2,0.2465665489435196
1687057810.123334,3,0.3091387450695038
1687069829.4462724,4,0.30881786346435547
1687081892.6125586,5,0.3267873227596283
1687093963.159519,6,0.32608136534690857
1687105739.1718817,7,0.3393017649650574
1687117341.855221,8,0.335579514503479
1687128910.243306,9,0.35816967487335205
1687140463.518694,10,0.3377615213394165
1687151636.0203037,11,0.3596457540988922
1687163383.5124753,12,0.3461686670780182
1687175073.0922759,13,0.3613785207271576
1687187037.5866866,14,0.3468745946884155
1687199017.5069768,15,0.36869463324546814
1687211006.444434,16,0.34514182806015015
1687222913.8776932,17,0.36644846200942993
1687234585.8101094,18,0.3509818911552429
1687246428.8350399,19,0.3683737516403198
1687258328.7321856,20,0.353420615196228
1687270133.6441827,21,0.37318700551986694
1687281913.9704514,22,0.3437299430370331
1687293678.1440625,23,0.37126171588897705
1687305222.0777574,24,0.3552817404270172
1687316776.4444938,25,0.3699139952659607
1687328497.1668527,26,0.3652290999889374
1687340153.5545862,27,0.3781927824020386
1687351671.4634995,28,0.3265947997570038
1687362884.317078,29,0.37139007449150085
1687374096.3238955,30,0.34950584173202515
1687385339.06603,31,0.37363624572753906
1687396329.537061,32,0.346682071685791
1687407630.9225261,33,0.37723013758659363
1687419466.3783975,34,0.3444359004497528
1687432648.2813878,35,0.374598890542984
1687445968.3223147,36,0.3633038103580475
1687459298.1734524,37,0.37960466742515564
1687470578.0817745,38,0.35990244150161743
1687481852.281095,39,0.3659350574016571
1687494367.8201811,40,0.3616352081298828
