Wall time,Step,Value
1687033795.194177,1,0.35020288825035095
1687046049.7105346,2,0.4628985524177551
1687057975.42359,3,0.5339516997337341
1687069994.0219579,4,0.5403478145599365
1687082056.9568222,5,0.5864347815513611
1687094127.9784994,6,0.5907246470451355
1687105899.6681921,7,0.6110724806785583
1687117500.9681256,8,0.6036714911460876
1687129068.4582713,9,0.6248502135276794
1687140624.3349028,10,0.6207149624824524
1687151795.7292888,11,0.6377971172332764
1687163545.3989422,12,0.6341835856437683
1687175234.87011,13,0.6416811347007751
1687187202.642462,14,0.6316521763801575
1687199184.2681336,15,0.6484830975532532
1687211171.6515257,16,0.6439999938011169
1687223075.4316828,17,0.6517101526260376
1687234743.8024566,18,0.6561932563781738
1687246597.0768163,19,0.6565797328948975
1687258492.5552757,20,0.6559033989906311
1687270296.6718404,21,0.66023188829422
1687282075.4771461,22,0.6627439856529236
1687293837.5083938,23,0.6668405532836914
1687305381.418975,24,0.6610241532325745
1687316936.2517533,25,0.6722512245178223
1687328657.0029824,26,0.669874370098114
1687340319.85085,27,0.667227029800415
1687351828.7525945,28,0.6649468541145325
1687363041.0073714,29,0.6740676164627075
1687374254.4213855,30,0.6701062917709351
1687385494.7726717,31,0.6686763167381287
1687396484.9181437,32,0.6580869555473328
1687407793.8958766,33,0.6799033880233765
1687419624.7725089,34,0.6679226756095886
1687432843.223159,35,0.6836328506469727
1687446175.6315098,36,0.6732367277145386
1687459454.154794,37,0.6789565086364746
1687470737.160545,38,0.6803284883499146
1687482007.6664798,39,0.6778936982154846
1687494573.148412,40,0.6770821213722229
