0,1,0.8976666927337646
1,2,0.9117111206054687
2,3,0.9266711139678955
3,4,0.9395582237243653
4,5,0.9466238235473634
5,6,0.9552631744766237
6,7,0.9580467920913697
7,8,0.9638947475799561
8,9,0.9649590628652954
9,10,0.9659087644403687
10,11,0.9688341371050782
11,12,0.9697004885572974
12,13,0.9724425036370029
13,14,0.9690654968416256
14,15,0.9722837385651805
15,16,0.9731924639414153
16,17,0.9742266003054619
17,18,0.9755581893779183
18,19,0.9756460355673637
19,20,0.9772098402353767
20,21,0.9768147909744169
21,22,0.9780888822140447
22,23,0.9773866573847623
23,24,0.9778097772525127
24,25,0.9777969779924378
25,26,0.9782781757328407
26,27,0.9792335604079663
27,28,0.977895699408537
28,29,0.9790485396783863
29,30,0.9797846850634405
30,31,0.9801819310713284
31,32,0.9797091475801749
32,33,0.9789810414121796
33,34,0.9801886221770196
34,35,0.9789576137664169
35,36,0.9795967820049674
36,37,0.9778914024091572
37,38,0.9800681811366563
38,39,0.9782186831113151
39,40,0.9803534320042403
