Wall time,Step,Value
1685594141.6642752,1,0.8976666927337646
1685594426.665104,2,0.9327777624130249
1685594711.630742,3,0.9491111040115356
1685595053.8484108,4,0.9588888883590698
1685595372.37327,5,0.9572222232818604
1685595687.4180586,6,0.9682222008705139
1685596016.5889652,7,0.9622222185134888
1685596331.0569646,8,0.9726666808128357
1685596637.8624244,9,0.9665555357933044
1685596937.691888,10,0.9673333168029785
1685597235.2062266,11,0.9732221961021423
1685597530.8416889,12,0.9710000157356262
1685597823.5769029,13,0.9765555262565613
1685598116.946245,14,0.9639999866485596
1685598412.125541,15,0.9771111011505127
1685598730.0305417,16,0.9745555520057678
1685599046.5932138,17,0.975777804851532
1685599351.5785522,18,0.9775555729866028
1685599648.6209564,19,0.975777804851532
1685599949.0192401,20,0.9795555472373962
1685600251.8514037,21,0.9762222170829773
1685600543.5455494,22,0.9800000190734863
1685600840.645631,23,0.9763333201408386
1685601138.3449216,24,0.9784444570541382
1685601435.9275234,25,0.9777777791023254
1685601742.3861253,26,0.9789999723434448
1685602048.6584458,27,0.9806666374206543
1685602358.705635,28,0.9758889079093933
1685602659.7055514,29,0.9807778000831604
1685602959.789956,30,0.9808889031410217
1685603257.1225479,31,0.9807778000831604
1685603545.5354354,32,0.9789999723434448
1685603834.3547168,33,0.9778888821601868
1685604125.005743,34,0.9819999933242798
1685604418.8117154,35,0.9771111011505127
1685604729.60864,36,0.980555534362793
1685605028.0266554,37,0.9753333330154419
1685605326.5059807,38,0.9833333492279053
1685605620.2527146,39,0.9754444360733032
1685605913.1657305,40,0.9835555553436279
