0,1,0.11677777767181388
1,2,0.4388666629791259
2,3,0.651275544166565
3,4,0.7816542081832886
4,5,0.8585036333084106
5,6,0.9068799576568602
6,7,0.9282168722991941
7,8,0.9494190083053586
8,9,0.9600069681469725
9,10,0.9673819637098389
10,11,0.9741180715440797
11,12,0.9757152782368116
12,13,0.9779180518679291
13,14,0.9781730551655573
14,15,0.9818371760329891
15,16,0.9820800916839415
16,17,0.9837813792520032
17,18,0.9844910393889705
18,19,0.985450177832601
19,20,0.9860256608987793
20,21,0.9860598383346166
21,22,0.9867914520501474
22,23,0.987852645087205
23,24,0.9882226897287145
24,25,0.9875114031438693
25,26,0.9879735033395686
26,27,0.987895209829974
27,28,0.9881149049049425
28,29,0.9889578292039518
29,30,0.9892858188907792
30,31,0.9894826127028757
31,32,0.9897340126595672
32,33,0.9897070638991461
33,34,0.990913124600474
34,35,0.9909923197981261
35,36,0.9914398317668761
36,37,0.992263902874823
37,38,0.9927361291241858
38,39,0.9930639060969479
39,40,0.9931605722806052
