Wall time,Step,Value
1685594139.5036862,1,0.11677777767181396
1685594424.3269763,2,0.921999990940094
1685594709.4521546,3,0.9698888659477234
1685595051.1510189,4,0.977222204208374
1685595370.2014933,5,0.9737777709960938
1685595684.958289,6,0.9794444441795349
1685596014.1994014,7,0.9602222442626953
1685596328.649703,8,0.9812222123146057
1685596635.57784,9,0.9758889079093933
1685596935.363619,10,0.9784444570541382
1685597232.8069122,11,0.9842222332954407
1685597528.5781634,12,0.9781110882759094
1685597821.3791342,13,0.9812222123146057
1685598114.663365,14,0.9785555601119995
1685598409.6593938,15,0.987333357334137
1685598727.3689551,16,0.9824444651603699
1685599044.1107116,17,0.9863333106040955
1685599349.3703089,18,0.9855555295944214
1685599646.2547007,19,0.9868888854980469
1685599946.6924038,20,0.9868888854980469
1685600249.5026174,21,0.9861111044883728
1685600541.330915,22,0.9878888726234436
1685600838.394924,23,0.9894444346427917
1685601136.037425,24,0.988777756690979
1685601433.3800592,25,0.9864444732666016
1685601739.8055203,26,0.9886666536331177
1685602046.2146378,27,0.9877777695655823
1685602356.251307,28,0.988444447517395
1685602657.3120687,29,0.9902222156524658
1685602957.5777276,30,0.9897778034210205
1685603254.8381107,31,0.9897778034210205
1685603543.2440057,32,0.9901111125946045
1685603832.083683,33,0.9896666407585144
1685604122.8838873,34,0.9902222156524658
1685604416.2316608,35,0.9901111125946045
1685604727.219046,36,0.9911110997200012
1685605025.7571783,37,0.9900000095367432
1685605324.2177365,38,0.99144446849823
1685605617.9920852,39,0.9915555715560913
1685605911.0192702,40,0.9915555715560913
